reference,value,footprint,manufacturer,manufacturer_part,supplier_number,physical_pin,pin_function,pin_type,connected_net,functional_block,model_category,model_file,model_subcircuit,model_terminal_order,model_confidence,simulation_status
C5,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C5,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C6,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C6,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C7,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C7,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C8,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C8,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C9,10uF,JLCPCB:C_0805,SAMSUNG(三星),CL05A106MP5NUNC,C15850,1,1_1,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C9,10uF,JLCPCB:C_0805,SAMSUNG(三星),CL05A106MP5NUNC,C15850,2,2_2,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C10,22uF,JLCPCB:C_0805,SAMSUNG(三星),CL21A226MAYNNNE,C602037,1,1_1,passive,GNDREF,miscellaneous schematic support,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C10,22uF,JLCPCB:C_0805,SAMSUNG(三星),CL21A226MAYNNNE,C602037,2,2_2,passive,Net-(U7-VOUT),miscellaneous schematic support,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C11,1uF,JLCPCB:C_0402,SAMSUNG(三星),CL05A105KA5NQNC,C52923,1,1_1,passive,V_Boost,power and precision references,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C11,1uF,JLCPCB:C_0402,SAMSUNG(三星),CL05A105KA5NQNC,C52923,2,2_2,passive,GNDREF,power and precision references,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C12,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,V_Boost,power and precision references,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C12,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,GNDREF,power and precision references,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C13,100pF,JLCPCB:C_0402,FH(风华),0402CG101J500NT,C2167113,1,1_1,passive,Vm_Ext,external membrane display/output,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C13,100pF,JLCPCB:C_0402,FH(风华),0402CG101J500NT,C2167113,2,2_2,passive,GNDREF,external membrane display/output,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C14,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,V_Boost,power and precision references,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C14,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,GNDREF,power and precision references,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C15,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,VREF_2V048,power and precision references,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C15,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,GNDREF,power and precision references,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C16,22nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1532,1,1_1,passive,GNDREF,external membrane display/output,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C16,22nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1532,2,2_2,passive,Vm_Display_In,external membrane display/output,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C17,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C17,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C18,470nF,JLCPCB:C_0603,CCTC(三环),TCC0603X7R474K500CT,C376839,1,1_1,passive,Net-(U9-NO),membrane capacitance selector,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C18,470nF,JLCPCB:C_0603,CCTC(三环),TCC0603X7R474K500CT,C376839,2,2_2,passive,GNDREF,membrane capacitance selector,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C19,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C19,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C20,1uF,JLCPCB:C_0603,muRata(村田),GRM188R71E105KA12D,C29936,1,1_1,passive,Net-(U10-NO),membrane capacitance selector,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C20,1uF,JLCPCB:C_0603,muRata(村田),GRM188R71E105KA12D,C29936,2,2_2,passive,GNDREF,membrane capacitance selector,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C21,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C21,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C22,2.2uF,JLCPCB:C_0603,SAMSUNG(三星),CL10A225KA8NNNC,C57895,1,1_1,passive,Net-(U11-NO),membrane capacitance selector,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C22,2.2uF,JLCPCB:C_0603,SAMSUNG(三星),CL10A225KA8NNNC,C57895,2,2_2,passive,GNDREF,membrane capacitance selector,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C23,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C23,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C24,4.7uF,JLCPCB:C_0805,SAMSUNG(三星),CL21A475KAQNNNE,C1779,1,1_1,passive,Net-(U12-NO),membrane capacitance selector,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C24,4.7uF,JLCPCB:C_0805,SAMSUNG(三星),CL21A475KAQNNNE,C1779,2,2_2,passive,GNDREF,membrane capacitance selector,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C25,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C25,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C26,10uF,JLCPCB:C_0805,HRE(芯声),CGA0805X7R106K250MT,C40894,1,1_1,passive,Net-(U13-NO),membrane capacitance selector,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C26,10uF,JLCPCB:C_0805,HRE(芯声),CGA0805X7R106K250MT,C40894,2,2_2,passive,GNDREF,membrane capacitance selector,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C27,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C27,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C28,100pF,JLCPCB:C_0402,FH(风华),0402CG101J500NT,C2167113,1,1_1,passive,GNDREF,membrane leak and integration,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C28,100pF,JLCPCB:C_0402,FH(风华),0402CG101J500NT,C2167113,2,2_2,passive,Vm_Int,membrane leak and integration,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C29,1uF,JLCPCB:C_0603,muRata(村田),GRM188R71E105KA12D,C29936,1,1_1,passive,/Vkick,adaptation,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C29,1uF,JLCPCB:C_0603,muRata(村田),GRM188R71E105KA12D,C29936,2,2_2,passive,/Adapt_Kick_Drive,adaptation,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C30,10uF,JLCPCB:C_0805,SAMSUNG(三星),CL05A106MP5NUNC,C15850,1,1_1,passive,GNDREF,adaptation,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C30,10uF,JLCPCB:C_0805,SAMSUNG(三星),CL05A106MP5NUNC,C15850,2,2_2,passive,Vw,adaptation,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C31,10nF,JLCPCB:C_0402,Samsung Electro-Mechanics,,C15195,1,,passive,AP,"threshold, AP, peak, reset and spike output",ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C31,10nF,JLCPCB:C_0402,Samsung Electro-Mechanics,,C15195,2,,passive,/Rising_AP,"threshold, AP, peak, reset and spike output",ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C32,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C32,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C33,1uF,JLCPCB:C_0402,SAMSUNG(三星),CL05A105KA5NQNC,C52923,1,1_1,passive,GNDREF,miscellaneous schematic support,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C33,1uF,JLCPCB:C_0402,SAMSUNG(三星),CL05A105KA5NQNC,C52923,2,2_2,passive,Net-(U6C-INC-),miscellaneous schematic support,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C34,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C34,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C35,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C35,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C36,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C36,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C37,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C37,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C38,220nF,JLCPCB:C_0603,YAGEO(国巨),CC0603KRX7R7BB224,C106249,1,1_1,passive,GNDREF,signed synapses,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C38,220nF,JLCPCB:C_0603,YAGEO(国巨),CC0603KRX7R7BB224,C106249,2,2_2,passive,V_Syn_State,signed synapses,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C39,100pF,JLCPCB:C_0402,FH(风华),0402CG101J500NT,C2167113,1,1_1,passive,V_Stim_Cmd,external stimulus,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C39,100pF,JLCPCB:C_0402,FH(风华),0402CG101J500NT,C2167113,2,2_2,passive,GNDREF,external stimulus,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C40,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C40,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C41,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C41,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C42,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C42,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C43,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,1,1_1,passive,GNDREF,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
C43,100nF,JLCPCB:C_0402,SAMSUNG(三星),CL05B104KO5NNNC,C1525,2,2_2,passive,VDD,local decoupling,ordinary passive instantiated directly,,,,medium,"capacitor with ESR, leakage, ESL and optional DC-bias derating"
D1,TPD1E05U06DPYT,Maxime:X1SON-2_L1.0-W0.6-P0.65-RD-1,TI(德州仪器),TPD1E05U06DPYT,C1847651,1,I/O_1,passive,Vm_Ext,external membrane display/output,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D1,TPD1E05U06DPYT,Maxime:X1SON-2_L1.0-W0.6-P0.65-RD-1,TI(德州仪器),TPD1E05U06DPYT,C1847651,2,GND_2,passive,GNDREF,external membrane display/output,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D2,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,1,K_1,passive,VDD,membrane leak and integration,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D2,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,2,A_2,passive,Vm_Int,membrane leak and integration,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D3,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,1,K_1,passive,Vm_Int,membrane leak and integration,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D3,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,2,A_2,passive,GNDREF,membrane leak and integration,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D4,1N4148WS,Maxime:SOD-323_L1.8-W1.3-LS2.5-RD-1,ST(先科),1N4148WS,C57759,1,C_1,passive,/Vkick,adaptation,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,1N4148,A K,medium,installed comparison model; portable fallback selected
D4,1N4148WS,Maxime:SOD-323_L1.8-W1.3-LS2.5-RD-1,ST(先科),1N4148WS,C57759,2,A_2,passive,GNDREF,adaptation,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,1N4148,A K,medium,installed comparison model; portable fallback selected
D5,1N4148WS,Maxime:SOD-323_L1.8-W1.3-LS2.5-RD-1,ST(先科),1N4148WS,C57759,1,C_1,passive,Vw,adaptation,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,1N4148,A K,medium,installed comparison model; portable fallback selected
D5,1N4148WS,Maxime:SOD-323_L1.8-W1.3-LS2.5-RD-1,ST(先科),1N4148WS,C57759,2,A_2,passive,/Vkick,adaptation,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,1N4148,A K,medium,installed comparison model; portable fallback selected
D6,RB521S30T1G,Maxime:SOD-523_L1.2-W0.8-LS1.6-RD,onsemi(安森美),RB521S30T1G,C145179,1,C_1,passive,Vw,adaptation,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D6,RB521S30T1G,Maxime:SOD-523_L1.2-W0.8-LS1.6-RD,onsemi(安森美),RB521S30T1G,C145179,2,A_2,passive,Net-(D6-A),adaptation,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D7,1N4148WS,Maxime:SOD-323_L1.8-W1.3-LS2.5-RD-1,ST(先科),1N4148WS,C57759,1,C_1,passive,Vw,adaptation,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,1N4148,A K,medium,installed comparison model; portable fallback selected
D7,1N4148WS,Maxime:SOD-323_L1.8-W1.3-LS2.5-RD-1,ST(先科),1N4148WS,C57759,2,A_2,passive,GNDREF,adaptation,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,1N4148,A K,medium,installed comparison model; portable fallback selected
D8,RB521S30T1G,Maxime:SOD-523_L1.2-W0.8-LS1.6-RD,onsemi(安森美),RB521S30T1G,C145179,1,C_1,passive,Spike_Pulse,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D8,RB521S30T1G,Maxime:SOD-523_L1.2-W0.8-LS1.6-RD,onsemi(安森美),RB521S30T1G,C145179,2,A_2,passive,/Rising_AP,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D9,19-237/R6GHBHC-A01/2T,Maxime:LED-SMD_4P-L1.6-W1.6-19-237A-BHR6GHC-A01-2T,EVERLIGHT(亿光),19-237/R6GHBHC-A01/2T,C60105,1,R-_1,passive,Net-(D9-R-),miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D9,19-237/R6GHBHC-A01/2T,Maxime:LED-SMD_4P-L1.6-W1.6-19-237A-BHR6GHC-A01-2T,EVERLIGHT(亿光),19-237/R6GHBHC-A01/2T,C60105,2,G-_2,passive,Net-(D9-G-),miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D9,19-237/R6GHBHC-A01/2T,Maxime:LED-SMD_4P-L1.6-W1.6-19-237A-BHR6GHC-A01-2T,EVERLIGHT(亿光),19-237/R6GHBHC-A01/2T,C60105,3,B-_3,passive,Net-(D9-B-),miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D9,19-237/R6GHBHC-A01/2T,Maxime:LED-SMD_4P-L1.6-W1.6-19-237A-BHR6GHC-A01-2T,EVERLIGHT(亿光),19-237/R6GHBHC-A01/2T,C60105,4,+_4,passive,VDD,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D10,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,1,K_1,passive,VDD,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D10,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,2,A_2,passive,Net-(D10-A),miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D11,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,1,K_1,passive,Net-(D10-A),miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D11,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,2,A_2,passive,GNDREF,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D12,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,1,K_1,passive,VDD,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
